教師代碼,教師姓名,可授科目,可授課週次,每週節數上限,授課班級,教師職位,可授課星期,不可排課日期,排課節次
T101,王文琳,國文,"1,2,3,4,5",18,"901,902",導師,"1,2,4,5",,"1,2,3,4"
T102,林思穎,國文,"1,2,3,4,5",18,"903,904",專任,"1,2,3,4,5",,"1,2,3,4"
T103,吳承恩,國文,"1,2,3,4,5",18,905,組長,"1,2,3,4,5",,"1,2,3,4"
T201,陳柏翰,英文,"1,2,3,4,5",20,"901,902",專任,"1,2,4,5",,"1,2,3,4"
T202,詹慧君,英文,"1,2,3,4,5",20,"903,904",導師,"1,2,3,4,5",,"1,2,3,4"
T203,周建宏,英文,"1,2,3,4,5",20,905,專任,"1,2,3,4,5",,"1,2,3,4"
T301,李明哲,數學,"1,2,3,4,5",18,"901,902",專任,"1,2,3,4,5",,"1,2,3,4"
T302,張惠婷,數學,"1,2,3,4,5",18,"903,904",專任,"1,2,3,4,5",,"1,2,3,4"
T303,蔡雅如,數學,"1,2,3,4,5",18,905,導師,"1,2,4,5",,"1,2,3,4"
T401,黃柏霖,自然,"1,2,3,4,5",12,"901,902,903,904,905",組長,"1,2,3,4,5",,"1,2,3,4"
T402,郭怡君,自然,"1,2,3,4,5",12,"901,902,903,904,905",專任,"2,3,4",,"3,4"
T501,吳承恩,公民,"1,2,3,4,5",12,"901,902,903,904,905",專任,"1,2,3,4,5",,"1,2,3,4"
T502,許芳瑜,歷史,"1,2,3,4,5",12,"901,902,903,904,905",組長,"1,2,3,4,5",,"1,2,3,4"
T503,周佩君,地理,"1,2,3,4,5",12,"901,902,903,904,905",導師,"1,2,3,4,5",,"1,2,3,4"
